,airport_ref,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,wikipedia_link,small_airport,medium_airport,large_airport,frequency_mhz
32169,19099,K82C,small_airport,Mauston New Lisbon Union Airport,43.8386993408,-90.1377029419,906,NA,US,US-WI,New Lisbon,no,K82C,,,1,0,0,"[135.25, 122.9]"
32170,19100,K82J,small_airport,Ferguson Airport,30.3987998962,-87.3486022949,27,NA,US,US-FL,Pensacola,no,K82J,,,1,0,0,[122.8]
32171,19101,K82V,small_airport,Pine Bluffs Municipal Airport,41.153301239,-104.129997253,5152,NA,US,US-WY,Pine Bluffs,no,82V,,,1,0,0,"[132.425, 122.8]"
32172,19102,K83D,small_airport,Mackinac County Airport,45.89170074,-84.73809814,624,NA,US,US-MI,St Ignace,no,K83D,,,1,0,0,"[118.27, 134.6, 122.5, 122.7]"
32173,19103,K84D,small_airport,Cheyenne Eagle Butte Airport,44.9844017,-101.2509995,2448,NA,US,US-SD,Eagle Butte,no,K84D,,,1,0,0,"[126.8, 122.9]"
32174,19104,K84R,small_airport,Smithville Crawford Municipal Airport,30.027638,-97.166948,323,NA,US,US-TX,Smithville,no,K84R,,,1,0,0,[122.9]
32175,19105,K86F,small_airport,Carnegie Municipal Airport,35.1236000061,-98.5752029419,1354,NA,US,US-OK,Carnegie,no,K86F,,,1,0,0,[122.9]
32177,19107,K87I,small_airport,Yazoo County Airport,32.8832015991,-90.4636001587,104,NA,US,US-MS,Yazoo City,no,K87I,,,1,0,0,"[132.5, 122.8]"
32178,19108,K87K,small_airport,El Dorado Springs Memorial Airport,37.8567008972,-93.9990997314,931,NA,US,US-MO,El Dorado Springs,no,K87K,,,1,0,0,[122.8]
32179,19109,K87Y,small_airport,Blackhawk Airfield,43.10490036,-89.1855011,920,NA,US,US-WI,Madison,no,K87Y,,,1,0,0,"[120.1, 122.7]"
32180,19111,K88M,small_airport,Eureka Airport,48.9738006592,-115.0759963989,2668,NA,US,US-MT,Eureka,no,K88M,,,1,0,0,[122.9]
32181,19112,K88R,small_airport,Spicewood Airport,30.47363,-98.121497,830,NA,US,US-TX,Spicewood,no,,,,1,0,0,[122.8]
32182,19114,K8A0,small_airport,Albertville Regional Airport/Thomas J Brumlik Field,34.22909927,-86.25579834,1032,NA,US,US-AL,Albertville,no,8A0,,https://en.wikipedia.org/wiki/Albertville_Regional_Airport,1,0,0,"[132.15, 119.575, 123.0]"
32183,19115,K8A1,small_airport,Guntersville Municipal Joe Starnes Field,34.3993988037,-86.2702026367,615,NA,US,US-AL,Guntersville,no,K8A1,,,1,0,0,"[125.6, 122.8]"
32184,19116,K8A3,small_airport,Livingston Municipal Airport,36.4121017456,-85.3115997314,1372,NA,US,US-TN,Livingston,no,K8A3,,,1,0,0,"[126.175, 121.325, 108.4, 122.8]"
32186,19118,K8B0,small_airport,Steven A. Bean Municipal Airport,44.991902,-70.664597,1825,NA,US,US-ME,Rangeley,no,,,https://en.wikipedia.org/wiki/Steven_A._Bean_Municipal_Airport,1,0,0,"[118.0, 124.25, 122.8]"
32187,19119,K8B1,small_airport,Hawthorne Feather Airpark,43.0666999817,-71.8994979858,600,NA,US,US-NH,Hillsboro,no,K8B1,,,1,0,0,[122.8]
32188,19120,K8B5,small_airport,Tanner Hiller Airport,42.3563995361,-72.1300964355,584,NA,US,US-MA,Barre/Barre Plains,no,K8B5,,,1,0,0,[123.0]
32189,19121,K8C4,small_airport,Mathews Memorial Airport,41.7634010315,-91.1529006958,840,NA,US,US-IA,Tipton,no,K8C4,,,1,0,0,"[119.7, 122.9]"
32190,19122,K8D1,small_airport,New Holstein Municipal Airport,43.9441986084,-88.1135025024,992,NA,US,US-WI,New Holstein,no,8D1,,,1,0,0,"[127.0, 123.0]"
32191,19123,K8D3,small_airport,Sisseton Municipal Airport,45.6707992554,-96.9962005615,1161,NA,US,US-SD,Sisseton,no,K8D3,,,1,0,0,[122.9]
32192,19124,K8D7,small_airport,Clark County Airport,44.8950004578,-97.7108001709,1792,NA,US,US-SD,Clark,no,K8D7,,,1,0,0,[122.8]
32193,19125,K8F3,small_airport,Crosbyton Municipal Airport,33.623798,-101.240997,3018,NA,US,US-TX,Crosbyton,no,,,,1,0,0,"[119.2, 127.45, 122.8]"
32194,19127,K8F5,small_airport,Greater Morris County Airport,33.1268005371,-94.6987991333,402,NA,US,US-TX,Daingerfield,no,K8F5,,,1,0,0,[122.9]
32195,19128,K8F6,small_airport,Murdo Municipal Airport,43.8517,-100.711998,2263,NA,US,US-SD,Murdo,no,,,,1,0,0,[122.8]
32196,19129,K8G1,small_airport,Willard Municipal Airport,41.0387,-82.724602,967,NA,US,US-OH,Willard,no,K8G1,,,1,0,0,"[124.2, 122.9, 122.6]"
32197,19130,K8G2,small_airport,Corry Lawrence Airport,41.9076004028,-79.6410980225,1766,NA,US,US-PA,Corry,no,K8G2,,,1,0,0,"[121.0, 122.8]"
32198,19131,K8G6,small_airport,Harrison County Airport,40.2383995056,-81.0129013062,1174,NA,US,US-OH,Cadiz,no,K8G6,,,1,0,0,"[120.4, 122.8]"
32199,19133,K8J7,small_airport,Tomlinson Field,47.6963996887,-99.1312026978,1533,NA,US,US-ND,New Rockford,no,K8J7,,,1,0,0,[122.9]
32200,19134,K8K2,small_airport,Harper Municipal Airport,37.2781982422,-98.0435028076,1427,NA,US,US-KS,Harper,no,K8K2,,,1,0,0,"[118.35, 122.9]"
32201,19135,K8M1,small_airport,Booneville Baldwyn Airport,34.590801239,-88.6475982666,384,NA,US,US-MS,Booneville/Baldwyn,no,K8M1,,,1,0,0,"[135.9, 122.8]"
32202,19136,K8M8,small_airport,Garland Airport,44.8064994812,-84.2761993408,1218,NA,US,US-MI,Lewiston,no,K8M8,,,1,0,0,[122.8]
32203,19137,K8M9,small_airport,Providence Webster County Airport,37.4248008728,-87.7360992432,393,NA,US,US-KY,Providence,no,K8M9,,,1,0,0,[122.8]
32204,19138,K8N2,small_airport,Skydive Chicago Airport,41.399799,-88.7939,616,NA,US,US-IL,Ottawa,no,,,,1,0,0,"[122.725, 122.725]"
32205,19139,K8N8,small_airport,Danville Airport,40.951499939,-76.6427001953,559,NA,US,US-PA,Danville,no,K8N8,,,1,0,0,"[126.3, 122.8]"
32206,19140,K8S0,small_airport,Starr Browning Airstrip,48.601398468,-113.1149978638,4655,NA,US,US-MT,Browning,no,K8S0,,,1,0,0,[122.9]
32207,19141,K8S1,small_airport,Polson Airport,47.695400238,-114.1849975586,2941,NA,US,US-MT,Polson,no,K8S1,,,1,0,0,"[133.4, 122.8]"
32208,19142,K8T6,small_airport,Live Oak County Airport,28.3628005981,-98.1165008545,129,NA,US,US-TX,George West,no,K8T6,,,1,0,0,"[134.6, 126.625, 122.9]"
32209,19143,K8T8,small_airport,San Geronimo Airpark,29.5104999542,-98.7984008789,1040,NA,US,US-TX,San Antonio,no,K8T8,,,1,0,0,"[126.625, 122.9]"
32210,19144,K8U2,small_airport,Schafer USFS Airport,48.07963,-113.243294,4855,NA,US,US-MT,Hungry Horse,no,,,,1,0,0,[122.9]
32211,19145,K8U6,small_airport,Terry Airport,46.7770996094,-105.31300354,2283,NA,US,US-MT,Terry,no,K8U6,,,1,0,0,[122.9]
32212,19146,K8U8,small_airport,Townsend Airport,46.331199646,-111.483001709,3893,NA,US,US-MT,Townsend,no,K8U8,,,1,0,0,[122.8]
32213,19147,K8V1,small_airport,Astronaut Kent Rominger Airport,37.71360016,-106.3539963,7949,NA,US,US-CO,Del Norte,no,KRCV,,,1,0,0,[122.9]
32214,19148,K8V2,small_airport,Stuart Atkinson Municipal Airport,42.5625,-99.037902832,2130,NA,US,US-NE,Atkinson,no,K8V2,,,1,0,0,"[128.0, 122.9]"
32215,19149,K8V3,small_airport,Parkston Municipal Airport,43.3791999817,-97.9711990356,1415,NA,US,US-SD,Parkston,no,K8V3,,,1,0,0,[122.9]
32216,19150,K8V7,small_airport,Springfield Municipal Airport,37.458698,-102.617996,4390,NA,US,US-CO,Springfield,no,KSPD,,,1,0,0,[122.9]
32217,19151,K8W2,small_airport,New Market Airport,38.6557006836,-78.7080993652,975,NA,US,US-VA,New Market,no,K8W2,,,1,0,0,[122.8]
32218,19152,K8WC,small_airport,Washington County Airport,37.9291992188,-90.7314987183,959,NA,US,US-MO,Potosi,no,K8WC,,,1,0,0,[123.0]
32219,19153,K8Y6,small_airport,Leaders Clear Lake Airport,45.4444007874,-93.9710998535,990,NA,US,US-MN,Clear Lake,no,K8Y6,,,1,0,0,[122.9]
32220,19154,K90F,small_airport,Jewel B Callaham Municipal Airport,34.014,-94.758598,404,NA,US,US-OK,Broken Bow,no,K90F,,,1,0,0,[122.9]
32222,19156,K91F,small_airport,Arrowhead Airport,35.1562995911,-95.6212997437,851,NA,US,US-OK,Canadian,no,K91F,,,1,0,0,[122.9]
32223,19157,K92F,small_airport,Chattanooga Sky Harbor Airport,34.368698,-98.682098,1135,NA,US,US-OK,Chattanooga,no,,,,1,0,0,[122.9]
32224,19158,K93C,small_airport,Richland Airport,43.2834014893,-90.2983016968,742,NA,US,US-WI,Richland Center,no,K93C,,,1,0,0,"[133.3, 122.9]"
32225,19159,K93F,small_airport,Mignon Laird Municipal Airport,35.6074981689,-99.7046966553,2084,NA,US,US-OK,Cheyenne,no,K93F,,,1,0,0,[122.9]
32226,19160,K93Y,small_airport,David City Municipal Airport,41.23089981,-97.12290192,1617,NA,US,US-NE,David City,no,K93Y,,,1,0,0,[122.9]
32227,19161,K94E,small_airport,Whiskey Creek Airport,32.759404,-108.209624,6126,NA,US,US-NM,Silver City,no,K94E,,,1,0,0,"[123.0, 122.8]"
32228,19162,K94K,small_airport,Cassville Municipal Airport,36.6973991394,-93.9004974365,1482,NA,US,US-MO,Cassville,no,K94K,,,1,0,0,"[124.95, 123.0]"
32229,19163,K94R,small_airport,Gav Air Airport,29.2661,-96.007698,90,NA,US,US-TX,Wharton,no,,,,1,0,0,[122.9]
32230,19164,K95D,small_airport,Beulah Airport,47.2508010864,-101.8140029907,1791,NA,US,US-ND,Beulah,no,K95D,,,1,0,0,[122.9]
32231,19165,K95E,small_airport,Stallion Army Air Field,33.814598,-106.643715,4925,NA,US,US-NM,Socorro,no,K95E,,,1,0,0,[126.95]
32232,19166,K95F,small_airport,Cleveland Municipal Airport,36.2837982178,-96.4633026123,912,NA,US,US-OK,Cleveland,no,K95F,,,1,0,0,[122.9]
32234,19168,K96D,small_airport,Walhalla Municipal Airport,48.9406013489,-97.9028015137,953,NA,US,US-ND,Walhalla,no,K96D,,,1,0,0,"[132.15, 122.9]"
32235,19169,K97M,small_airport,Ekalaka Airport,45.8777999878,-104.5370025635,3503,NA,US,US-MT,Ekalaka,no,K97M,,,1,0,0,[122.9]
32237,19171,K98D,small_airport,Onida Municipal Airport,44.7008018494,-100.1009979248,1874,NA,US,US-SD,Onida,no,K98D,,,1,0,0,[122.9]
32238,19172,K99N,small_airport,Bamberg County Airport,33.3045005798,-81.1083984375,231,NA,US,US-SC,Bamberg,no,K99N,,,1,0,0,[122.8]
32239,19173,K99V,small_airport,Crawford Airport,38.703736,-107.646983,6470,NA,US,US-CO,Crawford,no,,,,1,0,0,[122.8]
32240,19174,K9A0,small_airport,Lumpkin County Wimpys Airport,34.5792999268,-84.0206985474,1311,NA,US,US-GA,Dahlonega,no,K9A0,,,1,0,0,[122.9]
32241,19175,K9A1,small_airport,Covington Municipal Airport,33.63249969,-83.84960175,809,NA,US,US-GA,Covington,no,KCVC,,https://en.wikipedia.org/wiki/Covington_Municipal_Airport_(Georgia),1,0,0,"[126.975, 37.0, 119.875, 123.0]"
32242,19176,K9A4,small_airport,Lawrence County Airport,34.659401,-87.348801,588,NA,US,US-AL,Courtland,no,K9A4,,https://en.wikipedia.org/wiki/Courtland_Airport,1,0,0,"[118.05, 122.7]"
32243,19177,K9A5,small_airport,Barwick Lafayette Airport,34.6885986328,-85.290397644,777,NA,US,US-GA,Lafayette,no,K9A5,,,1,0,0,"[125.1, 119.775, 122.8]"
32245,19180,K9D0,small_airport,Highmore Municipal Airport,44.5415992737,-99.4461975098,1854,NA,US,US-SD,Highmore,no,K9D0,,,1,0,0,[122.9]
32246,19181,K9D1,small_airport,Gregory Municipal Airport - Flynn Field,43.22169876,-99.40329742,2168,NA,US,US-SD,Gregory,no,9D1,,,1,0,0,"[122.1, 122.8]"
32247,19182,K9D2,small_airport,Harding County Airport,45.5806007385,-103.5299987793,2889,NA,US,US-SD,Buffalo,no,K9D2,,,1,0,0,"[122.9, 122.15]"
32248,19183,K9D4,small_airport,Deck Airport,40.35179901,-76.32959747,523,NA,US,US-PA,Myerstown,no,K9D4,,,1,0,0,"[118.25, 122.8]"
32249,19184,K9D7,small_airport,Cando Municipal Airport,48.47999954,-99.23590088,1481,NA,US,US-ND,Cando,no,K9D7,,,1,0,0,[122.8]
32250,19185,K9D9,small_airport,Hastings Airport,42.6636009216,-85.3462982178,801,NA,US,US-MI,Hastings,no,K9D9,,,1,0,0,"[128.4, 123.075]"
32251,19186,K9F0,small_airport,Dublin Municipal Airport,32.0681991577,-98.325302124,1495,NA,US,US-TX,Dublin,no,K9F0,,,1,0,0,[122.9]
32252,19187,K9F8,small_airport,Hoven Municipal Airport,45.257599,-99.797798,1884,NA,US,US-SD,Hoven,no,,,,1,0,0,[122.8]
32253,19188,K9F9,small_airport,Sycamore Strip,32.6285018921,-97.3535995483,760,NA,US,US-TX,Fort Worth,no,K9F9,,https://en.wikipedia.org/wiki/Sycamore_Strip_Airport,1,0,0,[122.8]
32254,19189,K9G2,small_airport,Prices Airport,42.807598,-83.769897,920,NA,US,US-MI,Linden,no,K9G2,,,1,0,0,"[128.55, 122.3, 123.0]"
32255,19190,K9G3,small_airport,Akron Airport/Jesson Field,43.021099,-78.482498,840,NA,US,US-NY,Akron,no,,,https://en.wikipedia.org/wiki/Akron_Airport,1,0,0,"[126.15, 122.725]"
32256,19191,K9G8,small_airport,Ebensburg Airport,40.4612007141,-78.7751998901,2099,NA,US,US-PA,Ebensburg,no,K9G8,,,1,0,0,"[121.2, 122.8]"
32257,19193,K9K7,small_airport,Ellsworth Municipal Airport,38.7504005432,-98.2293014526,1615,NA,US,US-KS,Ellsworth,no,K9K7,,,1,0,0,[122.7]
32258,19194,K9K8,small_airport,Kingman Airport Clyde Cessna Field,37.66899872,-98.12390137,1607,NA,US,US-KS,Kingman,no,K9K8,,,1,0,0,"[125.5, 122.8]"
32259,19195,K9L2,small_airport,Edwards Af Aux North Base Airport,34.9907989502,-117.8629989624,2299,NA,US,US-CA,Edwards,no,K9L2,,,1,0,0,"[132.75, 120.7]"
32260,19196,K9M4,small_airport,Ackerman Choctaw County Airport,33.30172,-89.227352,552,NA,US,US-MS,Ackerman,no,,,,1,0,0,[122.9]
32261,19197,K9M6,small_airport,Kelly Airport,32.8492012024,-91.4039001465,112,NA,US,US-LA,Oak Grove,no,K9M6,,,1,0,0,[122.9]
32262,19198,K9M8,small_airport,Sheridan Municipal Airport,34.3283996582,-92.3509979248,232,NA,US,US-AR,Sheridan,no,K9M8,,,1,0,0,[122.8]
32263,19199,K9S2,small_airport,Scobey Airport,48.8077011108,-105.4390029907,2432,NA,US,US-MT,Scobey,no,K9S2,,,1,0,0,"[126.85, 122.8]"
32264,19200,K9S4,small_airport,Mineral County Airport,47.1683006287,-114.8539962769,2787,NA,US,US-MT,Superior,no,K9S4,,,1,0,0,[122.9]
32265,19201,K9S5,small_airport,Three Forks Airport,45.8781013489,-111.5690002441,4089,NA,US,US-MT,Three Forks,no,K9S5,,,1,0,0,[122.8]
32266,19202,K9S9,small_airport,Lexington Airport,45.454102,-119.690001,1634,NA,US,US-OR,Lexington,no,,,https://en.wikipedia.org/wiki/Lexington_Airport_(Oregon),1,0,0,"[134.475, 122.9]"
32267,19203,K9U0,small_airport,Turner Airport,48.8541984558,-108.408996582,3049,NA,US,US-MT,Turner,no,K9U0,,,1,0,0,[122.9]
32268,19204,K9U3,small_airport,Austin Airport,39.467998,-117.195,5730,NA,US,US-NV,Austin,no,KTMT,ASQ,https://en.wikipedia.org/wiki/Austin_Airport,1,0,0,[122.9]
32269,19205,K9U4,small_airport,Dixon Airport,41.0382995605,-107.497001648,6520,NA,US,US-WY,Dixon,no,KDWX,,,1,0,0,"[119.425, 122.9]"
32270,19206,K9U7,small_airport,Currant Ranch Airport,38.736000061,-115.4800033569,5181,NA,US,US-NV,Currant,no,K9U7,,,1,0,0,[122.9]
32271,19207,K9V5,small_airport,Modisett Airport,42.737499,-102.445,3751,NA,US,US-NE,Rushville,no,,,,1,0,0,[122.9]
32272,19208,K9V6,small_airport,Martin Municipal Airport,43.165599823,-101.7129974365,3293,NA,US,US-SD,Martin,no,K9V6,,,1,0,0,"[127.95, 122.9]"
32273,19209,K9V7,small_airport,Eads Municipal Airport,38.478479,-102.810869,4245,NA,US,US-CO,Eads,no,,,,1,0,0,[122.9]
32274,19210,K9V9,small_airport,Chamberlain Municipal Airport,43.7661018372,-99.3212966919,1695,NA,US,US-SD,Chamberlain,no,K9V9,,,1,0,0,"[125.1, 122.8]"
32276,19212,K9Y1,small_airport,Weydahl Field,47.3927993774,-102.7710037231,2256,NA,US,US-ND,Killdeer,no,K9Y1,,,1,0,0,[122.9]
32277,19213,KA08,small_airport,Vaiden Field,32.5124015808,-87.385597229,225,NA,US,US-AL,Marion,no,A08,,,1,0,0,[122.8]
32278,19214,KA09,small_airport,Eagle Airpark,34.887533,-114.616638,485,NA,US,US-AZ,Bullhead City,no,KA09,,https://en.wikipedia.org/wiki/Eagle_Airpark,1,0,0,[122.9]
32279,19215,KA20,small_airport,Sun Valley Airport,35.00876,-114.566052,725,NA,US,US-AZ,Bullhead City,no,,,https://en.wikipedia.org/wiki/Sun_Valley_Airport_(Arizona),1,0,0,[122.975]
32280,19216,KA24,small_airport,California Pines Airport,41.412399292,-120.6839981079,4398,NA,US,US-CA,Alturas,no,A24,,https://en.wikipedia.org/wiki/California_Pines_Airport,1,0,0,[123.0]
32281,19217,KA30,small_airport,Scott Valley Airport,41.558201,-122.855003,2728,NA,US,US-CA,Etna,no,,,https://en.wikipedia.org/wiki/Scott_Valley_Airport,1,0,0,[122.8]
32282,19218,KA32,small_airport,Butte Valley Airport,41.8871994019,-121.9759979248,4243,NA,US,US-CA,Dorris,no,A32,,https://en.wikipedia.org/wiki/Butte_Valley_Airport,1,0,0,[122.9]
32283,19219,KA34,small_airport,Dayton Valley Airpark,39.2383995056,-119.5550003052,4414,NA,US,US-NV,Dayton/Carson City,no,KA34,,,1,0,0,[122.9]
32284,19221,KA39,small_airport,Ak-Chin Regional Airport,32.990806,-111.918528,1300,NA,US,US-AZ,Maricopa,no,A39,,https://en.wikipedia.org/wiki/Phoenix_Regional_Airport,1,0,0,[122.9]
32285,19222,KA50,small_airport,Colorado Springs East Airport,38.874401,-104.410004,6145,NA,US,US-CO,Ellicott,no,,,https://en.wikipedia.org/wiki/Colorado_Springs_East_Airport,1,0,0,[122.9]
32286,19223,KAAA,small_airport,Logan County Airport,40.1586990356,-89.3349990845,597,NA,US,US-IL,Lincoln,no,KAAA,,,1,0,0,"[124.45, 118.775, 122.8]"
32287,19224,KAAF,small_airport,Apalachicola Regional Airport,29.72750092,-85.02749634,20,NA,US,US-FL,Apalachicola,no,KAAF,AAF,https://en.wikipedia.org/wiki/Apalachicola_Municipal_Airport,1,0,0,"[119.75, 119.925, 122.8]"
32288,19225,KAAO,small_airport,Colonel James Jabara Airport,37.74760056,-97.22109985,1421,NA,US,US-KS,Wichita,no,KAAO,,https://en.wikipedia.org/wiki/Colonel_James_Jabara_Airport,1,0,0,"[134.8, 134.025, 125.0, 122.7]"
32290,19226,KAAS,small_airport,Taylor County Airport,37.3582992554,-85.3094024658,921,NA,US,US-KY,Campbellsville,no,KAAS,,https://en.wikipedia.org/wiki/Taylor_County_Airport_(Kentucky),1,0,0,"[121.125, 121.175, 122.7]"
32291,19227,KAAT,small_airport,Alturas Municipal Airport,41.482736,-120.565671,4378,NA,US,US-CA,Alturas,no,KAAT,,https://en.wikipedia.org/wiki/Alturas_Municipal_Airport,1,0,0,"[124.175, 127.6, 122.8]"
32297,19228,KACB,small_airport,Antrim County Airport,44.988602,-85.198402,623,NA,US,US-MI,Bellaire,no,KACB,ACB,https://en.wikipedia.org/wiki/Antrim_County_Airport,1,0,0,"[119.275, 132.9, 122.7]"
32298,19229,KACJ,small_airport,Jimmy Carter Regional Airport,32.110802,-84.188904,468,NA,US,US-GA,Americus,no,KACJ,,https://en.wikipedia.org/wiki/Jimmy_Carter_Regional_Airport,1,0,0,"[125.5, 128.375, 119.95, 122.8]"
32300,19230,KACP,small_airport,Allen Parish Airport,30.7502994537,-92.6883010864,107,NA,US,US-LA,Oakdale,no,KACP,,,1,0,0,"[123.7, 118.275, 122.8]"
32301,19231,KACQ,small_airport,Waseca Municipal Airport,44.0735015869,-93.5529022217,1126,NA,US,US-MN,Waseca,no,KACQ,,,1,0,0,"[37.1, 132.35, 122.8]"
32305,19232,KACZ,small_airport,Henderson Field,34.7178993225,-78.0036010742,39,NA,US,US-NC,Wallace,no,KACZ,,https://en.wikipedia.org/wiki/Henderson_Field_(North_Carolina),1,0,0,"[121.4, 122.8]"
32306,19233,KADC,small_airport,Wadena Municipal Airport,46.4502983093,-95.2109985352,1369,NA,US,US-MN,Wadena,no,KADC,,,1,0,0,"[128.325, 126.1, 122.8]"
32307,19234,KADG,small_airport,Lenawee County Airport,41.866205,-84.077983,798,NA,US,US-MI,Adrian,no,KADG,ADG,https://en.wikipedia.org/wiki/Lenawee_County_Airport,1,0,0,"[134.35, 118.375, 122.8]"
32308,19235,KADH,small_airport,Ada Regional Airport,34.805214,-96.671988,1016,NA,US,US-OK,Ada,no,KADH,ADT,https://en.wikipedia.org/wiki/Ada_Municipal_Airport,1,0,0,"[118.725, 128.1, 122.45, 122.8]"
32309,19236,KADM,small_airport,Ardmore Municipal Airport,34.30301,-97.0196342,777,NA,US,US-OK,Ardmore,no,KADM,ADM,https://en.wikipedia.org/wiki/Ardmore_Municipal_Airport,1,0,0,"[125.6, 128.1, 118.5, 121.8, 122.55, 118.5, 122.95]"
32310,19237,KADS,small_airport,Addison Airport,32.9686012268,-96.8364028931,644,NA,US,US-TX,Dallas,no,KADS,ADS,https://en.wikipedia.org/wiki/Addison_Airport,1,0,0,"[124.3, 133.4, 119.55, 126.0, 121.6, 126.0, 122.95]"
32311,19238,KADT,small_airport,Atwood-Rawlins City-County Airport,39.840099,-101.042,2991,NA,US,US-KS,Atwood,no,KADT,,https://en.wikipedia.org/wiki/Atwood–Rawlins_County_City–County_Airport,1,0,0,"[132.5, 122.7]"
32312,19239,KADU,small_airport,Audubon County Airport,41.7014007568,-94.920501709,1287,NA,US,US-IA,Audubon,no,KADU,,,1,0,0,"[118.075, 119.6, 122.8]"
32315,19242,KAEG,small_airport,Double Eagle II Airport,35.145198822,-106.7949981689,5837,NA,US,US-NM,Albuquerque,no,KAEG,,https://en.wikipedia.org/wiki/Double_Eagle_II_Airport,1,0,0,"[127.4, 119.025, 124.8, 122.8]"
32316,19243,KAEJ,small_airport,Central Colorado Regional Airport,38.814201355,-106.1210021973,7946,NA,US,US-CO,Buena Vista,no,KAEJ,,,1,0,0,"[132.925, 119.85, 122.8]"
32317,19244,KAEL,small_airport,Albert Lea Municipal Airport,43.68149948,-93.36720276,1260,NA,US,US-MN,Albert Lea,no,KAEL,AEL,https://en.wikipedia.org/wiki/Albert_Lea_Municipal_Airport,1,0,0,"[119.8, 109.8, 132.35, 122.05, 123.0]"
32320,19245,KAFF,small_airport,USAF Academy Airfield,38.96969986,-104.8130035,6572,NA,US,US-CO,Colorado Springs,no,KAFF,AFF,,1,0,0,"[128.525, 118.125, 134.1, 121.95, 37.6, 124.15, 124.15]"
32321,19246,KAFJ,small_airport,Washington County Airport,40.1365013123,-80.2901992798,1184,NA,US,US-PA,Washington,no,KAFJ,WSG,https://en.wikipedia.org/wiki/Washington_County_Airport_(Pennsylvania),1,0,0,"[119.35, 118.425, 127.3, 112.2, 122.8]"
32322,19247,KAFK,small_airport,Nebraska City Municipal Airport,40.60689926,-95.86569977,1165,NA,US,US-NE,Nebraska City,no,KAFK,,,1,0,0,"[120.1, 128.325, 122.7]"
32323,19248,KAFN,small_airport,Jaffrey Airport Silver Ranch Airport,42.8050994873,-72.0029983521,1040,NA,US,US-NH,Jaffrey,no,KAFN,AFN,https://en.wikipedia.org/wiki/Jaffrey_Airport_%E2%80%93_Silver_Ranch_Airpark,1,0,0,"[135.875, 123.75, 122.8]"
32324,19249,KAFO,small_airport,Afton Municipal Airport,42.7112007141,-110.942001343,6221,NA,US,US-WY,Afton,no,KAFO,AFO,https://en.wikipedia.org/wiki/Afton_Municipal_Airport,1,0,0,"[128.35, 119.025, 122.3, 122.8]"
32325,19250,KAFP,small_airport,Anson County Airport - Jeff Cloud Field,35.020599,-80.077103,300,NA,US,US-NC,Wadesboro,no,KAFP,,https://en.wikipedia.org/wiki/Anson_County_Airport,1,0,0,"[120.05, 119.325, 122.8]"
32328,19251,KAGO,small_airport,Magnolia Municipal Airport / Ralph C Weiser Field,33.228001,-93.217002,319,NA,US,US-AR,Magnolia,no,KAGO,AGO,https://en.wikipedia.org/wiki/Magnolia_Municipal_Airport,1,0,0,"[128.2, 122.8]"
32329,19252,KAGR,small_airport,MacDill Air Force Base Auxiliary Field,27.6506004333,-81.3494033813,68,NA,US,US-FL,Avon Park,no,KAGR,,,1,0,0,[126.15]
32331,19253,KAGZ,small_airport,Wagner Municipal Airport,43.0633010864,-98.2962036133,1475,NA,US,US-SD,Wagner,no,KAGZ,,,1,0,0,[122.8]
32332,19254,KAHC,small_airport,Amedee Army Air Field,40.26620102,-120.1529999,4012,NA,US,US-CA,Herlong,no,KAHC,AHC,https://en.wikipedia.org/wiki/Amedee_Army_Airfield,1,0,0,"[128.8, 126.1]"
32333,19255,KAHH,small_airport,Amery Municipal Airport,45.2811012268,-92.3753967285,1088,NA,US,US-WI,Amery,no,KAHH,AHH,https://en.wikipedia.org/wiki/Amery_Municipal_Airport,1,0,0,"[125.3, 122.3, 122.8]"
32335,19256,KAHQ,small_airport,Wahoo Municipal Airport,41.2412986755,-96.59400177,1224,NA,US,US-NE,Wahoo,no,KAHQ,,https://en.wikipedia.org/wiki/Wahoo_Municipal_Airport,1,0,0,"[120.1, 122.7]"
32336,19257,KAIA,small_airport,Alliance Municipal Airport,42.0531997681,-102.804000854,3931,NA,US,US-NE,Alliance,no,KAIA,AIA,https://en.wikipedia.org/wiki/Alliance_Municipal_Airport,1,0,0,"[135.075, 127.95, 122.3, 123.0]"
32337,19258,KAIB,small_airport,Hopkins Field,38.2388000488,-108.56300354,5940,NA,US,US-CO,Nucla,no,KAIB,,,1,0,0,"[132.525, 122.8]"
32338,19259,KAID,small_airport,Anderson Municipal Darlington Field,40.1086006165,-85.6129989624,919,NA,US,US-IN,Anderson,no,KAID,AID,https://en.wikipedia.org/wiki/Anderson_Municipal_Airport,1,0,0,"[118.375, 120.65, 126.0, 121.6, 114.4, 126.0, 122.95]"
32339,19260,KAIG,small_airport,Langlade County Airport,45.1542015076,-89.1107025146,1521,NA,US,US-WI,Antigo,no,KAIG,,,1,0,0,"[119.075, 124.4, 122.8]"
32340,19261,KAIK,small_airport,Aiken Regional Airport,33.649399,-81.684998,528,NA,US,US-SC,Aiken,no,KAIK,AIK,https://en.wikipedia.org/wiki/Aiken_Municipal_Airport,1,0,0,"[119.15, 118.025, 122.45, 122.8]"
